,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
83,Rahul9Upadhyay,,India,492,107,3751,0,"May this Dhanteras Maa Laxmi and Lord Dhanvantri shower their blessings on your family....

WISH YOU A HAPPY DHANTERAS....❤️ #Dhanteras #Diwali","['Dhanteras', 'Diwali']"
84,AA_Shri_07,"𝗔𝗟𝗟𝗨𝗔𝗥𝗝𝗨𝗡 𝗗𝗜𝗘 𝗛𝗔𝗥𝗗 𝗙𝗔𝗡 𝗙𝗥𝗢𝗠 𝗞𝗘𝗥𝗔𝗟𝗔  

💙DELHI CAPITALS💙 
❤MANCHESTER UNITED❤

CRISTIANO ALLU POOJA SAM RASHMIKA SHREYAS IYER 
FAV",KSD,896,800,8503,86,"#AlluArjun 's #PushpaTheRise teaser is getting the finishing touches. #Pushpa teaser may explode for #Diwali2021  

#Diwali fireworks will be even bigger! #PushpaRaj will be seen in an intense role!

#BunnyArmy #iconstar #PushpaTheRiseOnDec17","['AlluArjun', 'PushpaTheRise', 'Pushpa', 'Diwali2021']"
85,MeniyaViru1,,,17,7,648,8,"Dear @mlkhattar Ji

Pls Revoke 144 on the auspicious occasion of #Diwali and let us enjoy the one night.

Dhannyabad

#HinduVirodhiKhattar",['Diwali']
86,BunnyKarthik77,"All karnataka allu arjun fan's association 

@alluarjun Annayya Fan 

@Team_AKAAFA","Bengaluru, India",189,269,14637,493,"#AlluArjun 's #PushpaTheRise teaser is getting the finishing touches. #Pushpa teaser may explode for #Diwali2021  

#Diwali fireworks will be even bigger! #PushpaRaj will be seen in an intense role!

#BunnyArmy #iconstar #PushpaTheRiseOnDec17","['AlluArjun', 'PushpaTheRise', 'Pushpa', 'Diwali2021']"
87,HarshKasana19,"Contest Lover, Food Lover, Tech-Lover..
Believe on Lord Shiva, Lord Rama and Lord Hanuman. Participation is Most Important Not Win or Lose.. 💯 Follow Back",Delhi,2138,437,27210,13,"#ContestAlert

Take the #DiwaliContest with The Ayurveda Co. ! Comment the right answers to all questions and stand a chance to win a hamper by the The Ayurveda Co. 

#Contest #Diwali #DiwaliGiveaway #GiveawayIndia #DiwaliQuiz #Giveaway https://t.co/iaSWnIgpmb","['ContestAlert', 'DiwaliContest']"
88,gauravgaj,INDIAN..Shiv bhakt.Sanatani rudraksh dhaari  🙏🏻,Lucknow ,922,355,24284,3,"Why is Bhagwan Ram known as the Soul of India and Indian Civilisation? #Diwali - I did this short Ram Katha last Diwali. 

Watch the full video on: https://t.co/pcg7Y2GiDK

Jai Shree Ram. 🪔🙏 https://t.co/cRTA2RDhzB",['Diwali']
89,VishalV82836353,,,27,6,2368,26,".@Devoleena_23: I buy gold and silver on Dhanteras every year as it is a ritual 
Read: https://t.co/mzAo5CBjlV
Story by @sugandharawal 
#DevoleenaBhattacharjee #Dhanteras #Diwali #Diwali2021 #devoleena #devo #devotheomggirl #devolians #devosquad #actor #devoleenalovers https://t.co/XL8dd9P247",[]
90,sarikamalhotra2,"Now, Head of School, Buddha World School, Vaishali, Bihar. Ex @htTweets @BT_India @FinancialXpress, @timesofindia. Meanwhile, JNU PhD; #RedInkAwards2017 & more!",New Delhi,334,649,4618,1,"Colours of Diwali!
We are decorating our School with Colourful Rangoli.
#colours #rangoli #diwali #celebration #activity #school #decoration #happiness #bws #wherelearningisfun @sarikamalhotra2 @Krish_Vaishali @PriyaOjha29 @RavishS88701346 @MonikaG02667236 @KajalSi20053357 https://t.co/j4fER46BlR","['colours', 'rangoli', 'diwali', 'celebration', 'activity']"
91,OmKhoor,"Farmer's son. MBA, Nation first 🇮🇳","Rajasthan, India",575,122,396,0,"@Anjalitv9 May this Dhanteras Maa Laxmi and Lord Dhanvantri shower their blessings on your family....

WISH YOU A HAPPY DHANTERAS....❤️ #Dhanteras #Diwali","['Dhanteras', 'Diwali']"
92,_prashaant_007,"जय श्री राम।
#libra","New Delhi, India",25,0,71,0,"Latest video of @shamsharmashow is one of his best videos. Well said
#Diwali #Diwali2021","['Diwali', 'Diwali2021']"
93,MohanBi53465294,Proud to be Hindu,,1156,382,15854,14,"Actually I love the words ""on Security arrangements "". Imagine, for @DelhiPolice Bursting #CRACKERS are a Security risk. In the rest of the World,  Bursting Bombs might be a Security risk. 

But nah, Hindus are dangerous because they burst crackers during One Festival- #Diwali https://t.co/iiaqkeY3hs",['CRACKERS']
94,RainbowsGb,"Nurturing and developing the emotional health and mental well-being of children, young people and adults who have experienced a significant loss",Great Britain,368,68,275,0,"@NoelParkSch_N22 Lovely paintings Cedar Class
#rainbows🌈#Diwali #BonfireNight 🔥","['rainbows', 'Diwali', 'BonfireNight']"
95,MODIGAURAV82,,,160,81,26852,2475,US lawmaker to introduce Bill to make #Diwali Federal Holiday in U.S.,['Diwali']
96,musale_vishnu,,"Pune, India",430,47,5608,126,"Don't let Greedy &amp; Seculars dominate our Hindu festivals. 

@imVkohli 

#Diwali  #धनतेरस  #Dhanteras  #धनत्रयोदशी #HappyDiwali
#tuesdaymotivations #tuesdayvibe #TuesdayFeeling #HinduVirodhiKhattar https://t.co/gxB3yyYBGW","['Diwali', 'धनतेरस', 'Dhanteras', 'धनत्रयोदशी', 'HappyDiwali']"
97,vipinpratap20,"धर्मो रक्षति रक्षितः
आप धर्म की रक्षा करें धर्म आपकी रक्षा करेगा।",Jaipur,157,21,3605,2475,US lawmaker to introduce Bill to make #Diwali Federal Holiday in U.S.,['Diwali']
98,thebrajeshs,"🇮🇳भारत मेरा देश, भारत मेरी शान।हर हर महादेव!!🚩वन्दे मातरम्🇮🇳अखंड भारत🇮🇳RT doesn't mean endorsement! Tweet’s in likes",अखंड भारत,4395,9167,254258,264,Odisha govt allows sale and use of Green-Crackers on #Diwali,['Diwali']
99,Bishal69520801,,,153,247,37398,36,"#Exclusive 🤩🔥

Scroll down to know how your favourite TV celebs are gearing up to celebrate #Diwali this year

#Diwali2021 | #Dhanteras | #DeepikaSingh | #AbhinavShukla | #RubinaDilaik | #SharadMalhotra | #HitenTejwani | #Festival

https://t.co/nu3DZ1rByQ","['Exclusive', 'Diwali', 'Diwali2021']"
